ID_Caso,AST_Features,Tem_Fuga_de_Recurso
Case_089_Wordpress_SINTETICO_2_FIX,MethodCall_Other MethodCall_Other MethodCall_Other,0
Case_218_ChatSecure_SINTETICO_5_BUG,MethodCall_Other MethodCall_Other,1
Case_206_CycleStreets_SINTETICO_4_FIX,TryStatement MethodCall_Other MethodCall_Other MethodCall_close CatchClause MethodCall_Other,0
Case_171_CallMeter_SINTETICO_6_FIX,MethodCall_Other MethodCall_Other MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_release,0
Case_097_Wordpress_SINTETICO_9_BUG,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,1
Case_279_K-9 Mail_SINTETICO_7_FIX,MethodCall_close TryStatement HasFinallyBlock MethodCall_Other MethodCall_close,0
Case_264_FBReaderJ_SINTETICO_6_FIX,MethodCall_Other MethodCall_close,0
Case_220_ChatSecure_SINTETICO_7_BUG,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,1
Case_099_Wordpress_SINTETICO_2_FIX,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,0
Case_285_Osmand_SINTETICO_3_FIX,MethodCall_Other MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_close,0
Case_276_VLC_SINTETICO_5_FIX,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_close MethodCall_close MethodCall_close,0
Case_285_Osmand_SINTETICO_5_BUG,MethodCall_Other MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,1
Case_156_SipDroid_SINTETICO_1_BUG,MethodCall_release TryStatement MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_release,1
Case_285_Osmand_SINTETICO_1_BUG,MethodCall_Other MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_Other,1
Case_261_Terminal_SINTETICO_3_BUG,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,1
Case_089_Wordpress_SINTETICO_6_BUG,MethodCall_Other MethodCall_Other MethodCall_Other,1
