ID_Caso,AST_Claude,AST_GPT,AST_Gemini
Case_218_ChatSecure_SINTETICO_5_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_097_Wordpress_SINTETICO_9_BUG,MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other,MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other,MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other
Case_220_ChatSecure_SINTETICO_7_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_285_Osmand_SINTETICO_5_BUG,MethodCall_Other MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other,MethodCall_Other MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_close
Case_156_SipDroid_SINTETICO_1_BUG,MethodCall_Other MethodCall_release MethodCall_release TryStatement MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_release MethodCall_release,MethodCall_Other MethodCall_Other TryStatement MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_release TryStatement MethodCall_Other CatchClause MethodCall_release,MethodCall_release TryStatement MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_release TryStatement HasFinallyBlock MethodCall_Other CatchClause MethodCall_Other MethodCall_release
Case_285_Osmand_SINTETICO_1_BUG,MethodCall_Other MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other,MethodCall_Other MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close
Case_261_Terminal_SINTETICO_3_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_089_Wordpress_SINTETICO_6_BUG,MethodCall_Other MethodCall_Other TryStatement CatchClause MethodCall_Other,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other,MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other
Case_230_ChatSecure_SINTETICO_3_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_267_Hacker News_SINTETICO_9_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other
Case_028_AnySoftKeyboard_SINTETICO_9_BUG,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_close,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_close,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_close
Case_164_Zxing_SINTETICO_10_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_close
Case_138_APG_SINTETICO_4_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,MethodCall_Other MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close
Case_265_Hacker News_SINTETICO_4_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other
Case_166_IRCCloud_SINTETICO_7_BUG,MethodCall_Other MethodCall_release MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_release MethodCall_Other,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other TryStatement MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_release,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_release
Case_278_K-9 Mail_SINTETICO_5_BUG,MethodCall_Other TryStatement TryStatement HasFinallyBlock MethodCall_Other MethodCall_close MethodCall_close CatchClause MethodCall_Other,MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other CatchClause MethodCall_Other TryStatement MethodCall_close CatchClause MethodCall_Other,MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other CatchClause MethodCall_Other TryStatement MethodCall_close CatchClause MethodCall_Other TryStatement MethodCall_close CatchClause MethodCall_Other
Case_164_Zxing_SINTETICO_5_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other MethodCall_Other MethodCall_close
Case_098_Wordpress_SINTETICO_7_BUG,MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other,MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other,MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other
Case_222_ChatSecure_SINTETICO_9_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_close MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_231_ChatSecure_SINTETICO_5_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other
Case_234_K-9 Mail_SINTETICO_7_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other CatchClause TryStatement MethodCall_close CatchClause,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other CatchClause,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other CatchClause
Case_234_K-9 Mail_SINTETICO_5_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other CatchClause TryStatement MethodCall_close CatchClause,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other CatchClause,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other CatchClause
Case_278_K-9 Mail_SINTETICO_7_BUG,MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other CatchClause MethodCall_Other TryStatement MethodCall_close CatchClause MethodCall_Other,MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other CatchClause MethodCall_Other TryStatement MethodCall_close CatchClause MethodCall_Other,MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other CatchClause MethodCall_Other TryStatement MethodCall_close CatchClause MethodCall_Other
Case_225_ChatSecure_SINTETICO_6_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other
Case_269_K-9 Mail_SINTETICO_8_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_229_ChatSecure_SINTETICO_5_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_169_K-9 Mail_SINTETICO_9_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other TryStatement MethodCall_close CatchClause MethodCall_Other TryStatement MethodCall_close CatchClause MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other CatchClause MethodCall_Other
Case_078_IRCCloud_SINTETICO_4_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_226_ChatSecure_SINTETICO_6_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_close MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_136_CSipSimple_SINTETICO_4_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_137_CSipSimple_SINTETICO_8_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_048_Owncloud_SINTETICO_10_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_157_Ushahidi_SINTETICO_6_BUG,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_071_OSMTracker_SINTETICO_5_BUG,MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_218_ChatSecure_SINTETICO_7_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_close MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_268_Hacker News_SINTETICO_8_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other CatchClause MethodCall_Other
Case_220_ChatSecure_SINTETICO_8_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_133_Transdroid_SINTETICO_4_BUG,MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_237_K-9 Mail_SINTETICO_9_BUG,MethodCall_Other MethodCall_Other TryStatement MethodCall_close CatchClause,MethodCall_Other MethodCall_Other,TryStatement MethodCall_Other MethodCall_Other CatchClause TryStatement MethodCall_close CatchClause MethodCall_Other
Case_097_Wordpress_SINTETICO_6_BUG,MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other,MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other,MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_050_Owncloud_SINTETICO_8_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_226_ChatSecure_SINTETICO_9_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_close MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_225_ChatSecure_SINTETICO_3_BUG,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other
Case_094_Wordpress_SINTETICO_7_BUG,MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other
Case_228_ChatSecure_SINTETICO_7_BUG,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_006_AnkiDroid_SINTETICO_2_BUG,MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other
Case_028_AnySoftKeyboard_SINTETICO_5_BUG,MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other,MethodCall_Other TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other,MethodCall_Other MethodCall_Other MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close MethodCall_Other MethodCall_Other
Case_054_Bankdroid_SINTETICO_10_BUG,MethodCall_Other TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasFinallyBlock MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_close,TryStatement HasResources_ImplicitClose MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other MethodCall_Other
Case_237_K-9 Mail_SINTETICO_1_BUG,MethodCall_Other TryStatement CatchClause MethodCall_close MethodCall_close MethodCall_Other TryStatement CatchClause MethodCall_close MethodCall_close,TryStatement MethodCall_Other MethodCall_Other CatchClause TryStatement MethodCall_close CatchClause MethodCall_Other,TryStatement MethodCall_Other MethodCall_Other CatchClause MethodCall_close
