ID_Caso,Aplicacao,Classe_Recurso,codigo_com_bug,Tem_Fuga_de_Recurso,fix_gpt,fix_claude,fix_gemini
Case_003_AnkiDroid_SINTETICO_3_BUG,App de Fitness,android.database.Cursor,"Cursor c = null;
try {
    c = fitnessDb.query(""workouts"", new String[]{""duration"", ""calories""}, ""user_id=?"", new String[]{String.valueOf(userId)}, null, null, ""date DESC"");
    if (c.moveToFirst()) {
        lastDuration = c.getLong(0);
        lastCalories = c.getInt(1);
    }
    c = fitnessDb.query(""goals"", new String[]{""steps_target""}, ""user_id=?"", new String[]{String.valueOf(userId)}, null, null, null);
    if (c.moveToFirst()) {
        targetSteps = c.getInt(0);
    }
} catch (RuntimeException e) {
    analytics.trackError(e);
}",1,"try (Cursor workoutsCursor = fitnessDb.query(""workouts"", new String[]{""duration"", ""calories""}, ""user_id=?"", new String[]{String.valueOf(userId)}, null, null, ""date DESC"")) {
    if (workoutsCursor != null && workoutsCursor.moveToFirst()) {
        lastDuration = workoutsCursor.getLong(0);
        lastCalories = workoutsCursor.getInt(1);
    }
    try (Cursor goalsCursor = fitnessDb.query(""goals"", new String[]{""steps_target""}, ""user_id=?"", new String[]{String.valueOf(userId)}, null, null, null)) {
        if (goalsCursor != null && goalsCursor.moveToFirst()) {
            targetSteps = goalsCursor.getInt(0);
        }
    }
} catch (RuntimeException e) {
    analytics.trackError(e);
}","Cursor c = null;
Cursor c2 = null;
try {
    c = fitnessDb.query(""workouts"", new String[]{""duration"", ""calories""}, ""user_id=?"", new String[]{String.valueOf(userId)}, null, null, ""date DESC"");
    if (c.moveToFirst()) {
        lastDuration = c.getLong(0);
        lastCalories = c.getInt(1);
    }
    c2 = fitnessDb.query(""goals"", new String[]{""steps_target""}, ""user_id=?"", new String[]{String.valueOf(userId)}, null, null, null);
    if (c2.moveToFirst()) {
        targetSteps = c2.getInt(0);
    }
} catch (RuntimeException e) {
    analytics.trackError(e);
} finally {
    if (c != null) {
        c.close();
    }
    if (c2 != null) {
        c2.close();
    }
}","Cursor c = null;
try {
    c = fitnessDb.query(""workouts"", new String[]{""duration"", ""calories""}, ""user_id=?"", new String[]{String.valueOf(userId)}, null, null, ""date DESC"");
    if (c.moveToFirst()) {
        lastDuration = c.getLong(0);
        lastCalories = c.getInt(1);
    }
    c.close();
    c = null;
    
    c = fitnessDb.query(""goals"", new String[]{""steps_target""}, ""user_id=?"", new String[]{String.valueOf(userId)}, null, null, null);
    if (c.moveToFirst()) {
        targetSteps = c.getInt(0);
    }
} catch (RuntimeException e) {
    analytics.trackError(e);
} finally {
    if (c != null) {
        c.close();
    }
}"
Case_003_AnkiDroid_SINTETICO_4_BUG,App de Notícias,android.database.Cursor,"Cursor cursor = null;
try {
    cursor = contentResolver.query(articlesUri, new String[]{""title"", ""author""}, ""category=?"", new String[]{selectedCategory}, ""published_at DESC"");
    while (cursor != null && cursor.moveToNext()) {
        headlines.add(cursor.getString(0) + "" by "" + cursor.getString(1));
    }
    cursor = contentResolver.query(articlesUri, new String[]{""title""}, ""bookmarked=1"", null, null);
    if (cursor != null && cursor.moveToFirst()) {
        bookmarkedTitle = cursor.getString(0);
    }
} catch (Exception e) {
    Log.e(""NewsApp"", ""Erro ao listar notícias"", e);
}",1,"try (Cursor articlesCursor = contentResolver.query(articlesUri, new String[]{""title"", ""author""}, ""category=?"", new String[]{selectedCategory}, ""published_at DESC"")) {
    while (articlesCursor != null && articlesCursor.moveToNext()) {
        headlines.add(articlesCursor.getString(0) + "" by "" + articlesCursor.getString(1));
    }
    try (Cursor bookmarkedCursor = contentResolver.query(articlesUri, new String[]{""title""}, ""bookmarked=1"", null, null)) {
        if (bookmarkedCursor != null && bookmarkedCursor.moveToFirst()) {
            bookmarkedTitle = bookmarkedCursor.getString(0);
        }
    }
} catch (Exception e) {
    Log.e(""NewsApp"", ""Erro ao listar notícias"", e);
}","Cursor cursor = null;
Cursor cursor2 = null;
try {
    cursor = contentResolver.query(articlesUri, new String[]{""title"", ""author""}, ""category=?"", new String[]{selectedCategory}, ""published_at DESC"");
    while (cursor != null && cursor.moveToNext()) {
        headlines.add(cursor.getString(0) + "" by "" + cursor.getString(1));
    }
    cursor2 = contentResolver.query(articlesUri, new String[]{""title""}, ""bookmarked=1"", null, null);
    if (cursor2 != null && cursor2.moveToFirst()) {
        bookmarkedTitle = cursor2.getString(0);
    }
} catch (Exception e) {
    Log.e(""NewsApp"", ""Erro ao listar notícias"", e);
} finally {
    if (cursor != null) {
        cursor.close();
    }
    if (cursor2 != null) {
        cursor2.close();
    }
}","try {
    try (Cursor cursor = contentResolver.query(articlesUri, new String[]{""title"", ""author""}, ""category=?"", new String[]{selectedCategory}, ""published_at DESC"")) {
        while (cursor != null && cursor.moveToNext()) {
            headlines.add(cursor.getString(0) + "" by "" + cursor.getString(1));
        }
    }
    try (Cursor cursor = contentResolver.query(articlesUri, new String[]{""title""}, ""bookmarked=1"", null, null)) {
        if (cursor != null && cursor.moveToFirst()) {
            bookmarkedTitle = cursor.getString(0);
        }
    }
} catch (Exception e) {
    Log.e(""NewsApp"", ""Erro ao listar notícias"", e);
}"
Case_003_AnkiDroid_SINTETICO_6_BUG,App de Finanças,android.database.Cursor,"Cursor cursor = null;
try {
    cursor = db.query(""transactions"", new String[]{""amount"", ""type""}, ""account_id=?"", new String[]{String.valueOf(accountId)}, null, null, ""created_at DESC"");
    if (cursor.moveToFirst()) {
        latestAmount = cursor.getLong(0);
        latestType = cursor.getString(1);
    }
    cursor = db.query(""budgets"", new String[]{""limit_value""}, ""account_id=?"", new String[]{String.valueOf(accountId)}, null, null, null);
    if (cursor.moveToFirst()) {
        budgetLimit = cursor.getLong(0);
    }
} catch (Exception e) {
    crashReporter.record(e);
}",1,"Cursor cursor = null;
try {
    cursor = db.query(""transactions"", new String[]{""amount"", ""type""}, ""account_id=?"", new String[]{String.valueOf(accountId)}, null, null, ""created_at DESC"");
    if (cursor.moveToFirst()) {
        latestAmount = cursor.getLong(0);
        latestType = cursor.getString(1);
    }
    cursor.close();
    cursor = null;

    cursor = db.query(""budgets"", new String[]{""limit_value""}, ""account_id=?"", new String[]{String.valueOf(accountId)}, null, null, null);
    if (cursor.moveToFirst()) {
        budgetLimit = cursor.getLong(0);
    }
} catch (Exception e) {
    crashReporter.record(e);
} finally {
    if (cursor != null && !cursor.isClosed()) {
        cursor.close();
    }
}","Cursor cursor = null;
Cursor cursor2 = null;
try {
    cursor = db.query(""transactions"", new String[]{""amount"", ""type""}, ""account_id=?"", new String[]{String.valueOf(accountId)}, null, null, ""created_at DESC"");
    if (cursor.moveToFirst()) {
        latestAmount = cursor.getLong(0);
        latestType = cursor.getString(1);
    }
    cursor2 = db.query(""budgets"", new String[]{""limit_value""}, ""account_id=?"", new String[]{String.valueOf(accountId)}, null, null, null);
    if (cursor2.moveToFirst()) {
        budgetLimit = cursor2.getLong(0);
    }
} catch (Exception e) {
    crashReporter.record(e);
} finally {
    if (cursor != null) {
        cursor.close();
    }
    if (cursor2 != null) {
        cursor2.close();
    }
}","try {
    try (Cursor cursor = db.query(""transactions"", new String[]{""amount"", ""type""}, ""account_id=?"", new String[]{String.valueOf(accountId)}, null, null, ""created_at DESC"")) {
        if (cursor.moveToFirst()) {
            latestAmount = cursor.getLong(0);
            latestType = cursor.getString(1);
        }
    }
    try (Cursor cursor = db.query(""budgets"", new String[]{""limit_value""}, ""account_id=?"", new String[]{String.valueOf(accountId)}, null, null, null)) {
        if (cursor.moveToFirst()) {
            budgetLimit = cursor.getLong(0);
        }
    }
} catch (Exception e) {
    crashReporter.record(e);
}"
Case_003_AnkiDroid_SINTETICO_10_BUG,App de Mensagens,android.database.Cursor,"Cursor cursor = null;
try {
    cursor = messageDb.query(""threads"", new String[]{""last_message"", ""unread_count""}, ""conversation_id=?"", new String[]{String.valueOf(conversationId)}, null, null, null);
    if (cursor.moveToFirst()) {
        preview = cursor.getString(0);
        unreadCount = cursor.getInt(1);
    }
    cursor = messageDb.query(""contacts"", new String[]{""display_name""}, ""phone=?"", new String[]{phoneNumber}, null, null, null);
    if (cursor.moveToFirst()) {
        contactName = cursor.getString(0);
    }
} catch (Exception e) {
    Log.e(""ChatApp"", ""Erro ao abrir conversa"", e);
}",1,"Cursor cursor = null;
try {
    cursor = messageDb.query(""threads"", new String[]{""last_message"", ""unread_count""}, ""conversation_id=?"", new String[]{String.valueOf(conversationId)}, null, null, null);
    if (cursor != null && cursor.moveToFirst()) {
        preview = cursor.getString(0);
        unreadCount = cursor.getInt(1);
    }
    if (cursor != null) {
        cursor.close();
        cursor = null;
    }

    cursor = messageDb.query(""contacts"", new String[]{""display_name""}, ""phone=?"", new String[]{phoneNumber}, null, null, null);
    if (cursor != null && cursor.moveToFirst()) {
        contactName = cursor.getString(0);
    }
} catch (Exception e) {
    Log.e(""ChatApp"", ""Erro ao abrir conversa"", e);
} finally {
    if (cursor != null && !cursor.isClosed()) {
        cursor.close();
    }
}","Cursor cursor = null;
Cursor cursor2 = null;
try {
    cursor = messageDb.query(""threads"", new String[]{""last_message"", ""unread_count""}, ""conversation_id=?"", new String[]{String.valueOf(conversationId)}, null, null, null);
    if (cursor.moveToFirst()) {
        preview = cursor.getString(0);
        unreadCount = cursor.getInt(1);
    }
    cursor2 = messageDb.query(""contacts"", new String[]{""display_name""}, ""phone=?"", new String[]{phoneNumber}, null, null, null);
    if (cursor2.moveToFirst()) {
        contactName = cursor2.getString(0);
    }
} catch (Exception e) {
    Log.e(""ChatApp"", ""Erro ao abrir conversa"", e);
} finally {
    if (cursor != null) {
        cursor.close();
    }
    if (cursor2 != null) {
        cursor2.close();
    }
}","Cursor cursor = null;
try {
    cursor = messageDb.query(""threads"", new String[]{""last_message"", ""unread_count""}, ""conversation_id=?"", new String[]{String.valueOf(conversationId)}, null, null, null);
    if (cursor != null) {
        if (cursor.moveToFirst()) {
            preview = cursor.getString(0);
            unreadCount = cursor.getInt(1);
        }
        cursor.close();
        cursor = null;
    }
    
    cursor = messageDb.query(""contacts"", new String[]{""display_name""}, ""phone=?"", new String[]{phoneNumber}, null, null, null);
    if (cursor != null) {
        if (cursor.moveToFirst()) {
            contactName = cursor.getString(0);
        }
    }
} catch (Exception e) {
    Log.e(""ChatApp"", ""Erro ao abrir conversa"", e);
} finally {
    if (cursor != null) {
        cursor.close();
    }
}"
Case_003_AnkiDroid_SINTETICO_11_BUG,App de Clima,android.database.Cursor,"Cursor c = null;
try {
    c = weatherDb.rawQuery(""SELECT temperature, humidity FROM forecasts WHERE city=? ORDER BY timestamp DESC LIMIT 1"", new String[]{city});
    if (c.moveToFirst()) {
        temp = c.getFloat(0);
        humidity = c.getInt(1);
    }
    c = weatherDb.rawQuery(""SELECT alert_type FROM alerts WHERE city=?"", new String[]{city});
    if (c.moveToFirst()) {
        alertType = c.getString(0);
    }
} catch (Exception e) {
    telemetry.log(e);
}",1,"Cursor c = null;
try {
    c = weatherDb.rawQuery(""SELECT temperature, humidity FROM forecasts WHERE city=? ORDER BY timestamp DESC LIMIT 1"", new String[]{city});
    if (c.moveToFirst()) {
        temp = c.getFloat(0);
        humidity = c.getInt(1);
    }
    c.close();
    c = null;

    c = weatherDb.rawQuery(""SELECT alert_type FROM alerts WHERE city=?"", new String[]{city});
    if (c.moveToFirst()) {
        alertType = c.getString(0);
    }
} catch (Exception e) {
    telemetry.log(e);
} finally {
    if (c != null && !c.isClosed()) {
        c.close();
    }
}","Cursor c = null;
Cursor c2 = null;
try {
    c = weatherDb.rawQuery(""SELECT temperature, humidity FROM forecasts WHERE city=? ORDER BY timestamp DESC LIMIT 1"", new String[]{city});
    if (c.moveToFirst()) {
        temp = c.getFloat(0);
        humidity = c.getInt(1);
    }
    c2 = weatherDb.rawQuery(""SELECT alert_type FROM alerts WHERE city=?"", new String[]{city});
    if (c2.moveToFirst()) {
        alertType = c2.getString(0);
    }
} catch (Exception e) {
    telemetry.log(e);
} finally {
    if (c != null) {
        c.close();
    }
    if (c2 != null) {
        c2.close();
    }
}","Cursor c = null;
try {
    c = weatherDb.rawQuery(""SELECT temperature, humidity FROM forecasts WHERE city=? ORDER BY timestamp DESC LIMIT 1"", new String[]{city});
    if (c.moveToFirst()) {
        temp = c.getFloat(0);
        humidity = c.getInt(1);
    }
    if (c != null) {
        c.close();
    }
    c = weatherDb.rawQuery(""SELECT alert_type FROM alerts WHERE city=?"", new String[]{city});
    if (c.moveToFirst()) {
        alertType = c.getString(0);
    }
} catch (Exception e) {
    telemetry.log(e);
} finally {
    if (c != null) {
        c.close();
    }
}"
Case_025_AnkiDroid_SINTETICO_3_BUG,App de Fitness,android.database.Cursor,"public void migrarTreinos(SQLiteDatabase db) {
    Cursor c = db.rawQuery(""SELECT id FROM workouts WHERE synced = 0"", null);
    int pendentes = c.getCount();
    if (pendentes > 100) {
        db.execSQL(""UPDATE workouts SET priority = 1 WHERE synced = 0"");
    }
    db.execSQL(""ALTER TABLE workouts ADD COLUMN calories INTEGER NOT NULL DEFAULT 0"");
}",1,"public void migrarTreinos(SQLiteDatabase db) {
    Cursor c = null;
    try {
        c = db.rawQuery(""SELECT id FROM workouts WHERE synced = 0"", null);
        int pendentes = c.getCount();
        if (pendentes > 100) {
            db.execSQL(""UPDATE workouts SET priority = 1 WHERE synced = 0"");
        }
    } finally {
        if (c != null && !c.isClosed()) {
            c.close();
        }
    }
    db.execSQL(""ALTER TABLE workouts ADD COLUMN calories INTEGER NOT NULL DEFAULT 0"");
}","public void migrarTreinos(SQLiteDatabase db) {
    Cursor c = db.rawQuery(""SELECT id FROM workouts WHERE synced = 0"", null);
    try {
        int pendentes = c.getCount();
        if (pendentes > 100) {
            db.execSQL(""UPDATE workouts SET priority = 1 WHERE synced = 0"");
        }
    } finally {
        c.close();
    }
    db.execSQL(""ALTER TABLE workouts ADD COLUMN calories INTEGER NOT NULL DEFAULT 0"");
}","public void migrarTreinos(SQLiteDatabase db) {
    try (Cursor c = db.rawQuery(""SELECT id FROM workouts WHERE synced = 0"", null)) {
        int pendentes = c.getCount();
        if (pendentes > 100) {
            db.execSQL(""UPDATE workouts SET priority = 1 WHERE synced = 0"");
        }
    }
    db.execSQL(""ALTER TABLE workouts ADD COLUMN calories INTEGER NOT NULL DEFAULT 0"");
}"
Case_025_AnkiDroid_SINTETICO_5_BUG,App de E-commerce,android.database.Cursor,"public void atualizarSchema(SQLiteDatabase db) {
    Cursor c = db.rawQuery(""PRAGMA table_info(orders)"", null);
    int count = c.getCount();
    if (count < 8) {
        db.execSQL(""ALTER TABLE orders ADD COLUMN couponCode TEXT"");
    }
    db.execSQL(""ALTER TABLE orders ADD COLUMN shippingFee REAL NOT NULL DEFAULT 0"");
}",1,"public void atualizarSchema(SQLiteDatabase db) {
    Cursor c = null;
    try {
        c = db.rawQuery(""PRAGMA table_info(orders)"", null);
        int count = c.getCount();
        if (count < 8) {
            db.execSQL(""ALTER TABLE orders ADD COLUMN couponCode TEXT"");
        }
        db.execSQL(""ALTER TABLE orders ADD COLUMN shippingFee REAL NOT NULL DEFAULT 0"");
    } finally {
        if (c != null && !c.isClosed()) {
            c.close();
        }
    }
}","public void atualizarSchema(SQLiteDatabase db) {
    Cursor c = db.rawQuery(""PRAGMA table_info(orders)"", null);
    int count;
    try {
        count = c.getCount();
    } finally {
        c.close();
    }
    if (count < 8) {
        db.execSQL(""ALTER TABLE orders ADD COLUMN couponCode TEXT"");
    }
    db.execSQL(""ALTER TABLE orders ADD COLUMN shippingFee REAL NOT NULL DEFAULT 0"");
}","public void atualizarSchema(SQLiteDatabase db) {
    try (Cursor c = db.rawQuery(""PRAGMA table_info(orders)"", null)) {
        int count = c.getCount();
        if (count < 8) {
            db.execSQL(""ALTER TABLE orders ADD COLUMN couponCode TEXT"");
        }
    }
    db.execSQL(""ALTER TABLE orders ADD COLUMN shippingFee REAL NOT NULL DEFAULT 0"");
}"
Case_025_AnkiDroid_SINTETICO_9_BUG,App de Mensagens,android.database.Cursor,"public void prepararMigracao(SQLiteDatabase db) {
    Cursor c = db.rawQuery(""PRAGMA table_info(messages)"", null);
    if (c.getCount() < 6) {
        db.execSQL(""ALTER TABLE messages ADD COLUMN readAt INTEGER"");
        db.execSQL(""ALTER TABLE messages ADD COLUMN deliveredAt INTEGER"");
    }
    db.execSQL(""CREATE INDEX IF NOT EXISTS idx_messages_thread ON messages(threadId)"");
}",1,"public void prepararMigracao(SQLiteDatabase db) {
    Cursor c = null;
    try {
        c = db.rawQuery(""PRAGMA table_info(messages)"", null);
        if (c.getCount() < 6) {
            db.execSQL(""ALTER TABLE messages ADD COLUMN readAt INTEGER"");
            db.execSQL(""ALTER TABLE messages ADD COLUMN deliveredAt INTEGER"");
        }
    } finally {
        if (c != null && !c.isClosed()) {
            c.close();
        }
    }
    db.execSQL(""CREATE INDEX IF NOT EXISTS idx_messages_thread ON messages(threadId)"");
}","public void prepararMigracao(SQLiteDatabase db) {
    Cursor c = db.rawQuery(""PRAGMA table_info(messages)"", null);
    try {
        if (c.getCount() < 6) {
            db.execSQL(""ALTER TABLE messages ADD COLUMN readAt INTEGER"");
            db.execSQL(""ALTER TABLE messages ADD COLUMN deliveredAt INTEGER"");
        }
    } finally {
        c.close();
    }
    db.execSQL(""CREATE INDEX IF NOT EXISTS idx_messages_thread ON messages(threadId)"");
}","public void prepararMigracao(SQLiteDatabase db) {
    try (Cursor c = db.rawQuery(""PRAGMA table_info(messages)"", null)) {
        if (c.getCount() < 6) {
            db.execSQL(""ALTER TABLE messages ADD COLUMN readAt INTEGER"");
            db.execSQL(""ALTER TABLE messages ADD COLUMN deliveredAt INTEGER"");
        }
    }
    db.execSQL(""CREATE INDEX IF NOT EXISTS idx_messages_thread ON messages(threadId)"");
}"
Case_025_AnkiDroid_SINTETICO_10_BUG,App de Gestão de Inventário,android.database.Cursor,"public void atualizarInventario(SQLiteDatabase db) {
    Cursor c = db.rawQuery(""SELECT COUNT(*) FROM stock_items"", null);
    int total = c.getCount();
    if (total == 0) {
        db.execSQL(""CREATE TABLE IF NOT EXISTS stock_items (id INTEGER PRIMARY KEY, sku TEXT NOT NULL)"");
    }
    db.execSQL(""ALTER TABLE stock_items ADD COLUMN reserved INTEGER NOT NULL DEFAULT 0"");
}",1,"public void atualizarInventario(SQLiteDatabase db) {
    Cursor c = null;
    try {
        c = db.rawQuery(""SELECT COUNT(*) FROM stock_items"", null);
        int total = 0;
        if (c != null && c.moveToFirst()) {
            total = c.getInt(0);
        }
        if (total == 0) {
            db.execSQL(""CREATE TABLE IF NOT EXISTS stock_items (id INTEGER PRIMARY KEY, sku TEXT NOT NULL)"");
        }
        db.execSQL(""ALTER TABLE stock_items ADD COLUMN reserved INTEGER NOT NULL DEFAULT 0"");
    } finally {
        if (c != null) {
            c.close();
        }
    }
}","public void atualizarInventario(SQLiteDatabase db) {
    Cursor c = null;
    try {
        c = db.rawQuery(""SELECT COUNT(*) FROM stock_items"", null);
        int total = c.getCount();
        if (total == 0) {
            db.execSQL(""CREATE TABLE IF NOT EXISTS stock_items (id INTEGER PRIMARY KEY, sku TEXT NOT NULL)"");
        }
    } finally {
        if (c != null) {
            c.close();
        }
    }
    db.execSQL(""ALTER TABLE stock_items ADD COLUMN reserved INTEGER NOT NULL DEFAULT 0"");
}","public void atualizarInventario(SQLiteDatabase db) {
    try (Cursor c = db.rawQuery(""SELECT COUNT(*) FROM stock_items"", null)) {
        int total = c.getCount();
        if (total == 0) {
            db.execSQL(""CREATE TABLE IF NOT EXISTS stock_items (id INTEGER PRIMARY KEY, sku TEXT NOT NULL)"");
        }
        db.execSQL(""ALTER TABLE stock_items ADD COLUMN reserved INTEGER NOT NULL DEFAULT 0"");
    }
}"
Case_025_AnkiDroid_SINTETICO_11_BUG,App de Educação/Estudos,android.database.Cursor,"public void verificarNotas(SQLiteDatabase db) {
    Cursor cursor = db.rawQuery(""SELECT * FROM grades WHERE semester = '2024'"", null);
    if (cursor.getCount() > 0) {
        db.execSQL(""ALTER TABLE grades ADD COLUMN teacherComment TEXT"");
    } else {
        db.execSQL(""CREATE TABLE IF NOT EXISTS grades (id INTEGER PRIMARY KEY, studentId INTEGER NOT NULL)"");
    }
}",1,"public void verificarNotas(SQLiteDatabase db) {
    Cursor cursor = null;
    try {
        cursor = db.rawQuery(""SELECT * FROM grades WHERE semester = '2024'"", null);
        if (cursor.getCount() > 0) {
            db.execSQL(""ALTER TABLE grades ADD COLUMN teacherComment TEXT"");
        } else {
            db.execSQL(""CREATE TABLE IF NOT EXISTS grades (id INTEGER PRIMARY KEY, studentId INTEGER NOT NULL)"");
        }
    } finally {
        if (cursor != null && !cursor.isClosed()) {
            cursor.close();
        }
    }
}","public void verificarNotas(SQLiteDatabase db) {
    Cursor cursor = null;
    try {
        cursor = db.rawQuery(""SELECT * FROM grades WHERE semester = '2024'"", null);
        if (cursor.getCount() > 0) {
            db.execSQL(""ALTER TABLE grades ADD COLUMN teacherComment TEXT"");
        } else {
            db.execSQL(""CREATE TABLE IF NOT EXISTS grades (id INTEGER PRIMARY KEY, studentId INTEGER NOT NULL)"");
        }
    } finally {
        if (cursor != null) {
            cursor.close();
        }
    }
}","public void verificarNotas(SQLiteDatabase db) {
    try (Cursor cursor = db.rawQuery(""SELECT * FROM grades WHERE semester = '2024'"", null)) {
        if (cursor.getCount() > 0) {
            db.execSQL(""ALTER TABLE grades ADD COLUMN teacherComment TEXT"");
        } else {
            db.execSQL(""CREATE TABLE IF NOT EXISTS grades (id INTEGER PRIMARY KEY, studentId INTEGER NOT NULL)"");
        }
    }
}"
