ID_Caso;Aplicacao;Classe_Recurso;Codigo_Snippet;Tem_Fuga_de_Recurso
Case_003_AnkiDroid_SINTETICO_1_BUG;App de Música;android.database.Cursor;"Cursor cur = null;
try {
    cur = db.rawQuery(""SELECT title, artist FROM songs WHERE favorite=1"", null);
    if (cur.moveToFirst()) {
        do {
            String title = cur.getString(0);
            String artist = cur.getString(1);
            playlist.add(title + "" - "" + artist);
        } while (cur.moveToNext());
    }
    cur = db.rawQuery(""SELECT COUNT(*) FROM playlists"", null);
    if (cur.moveToFirst()) {
        totalPlaylists = cur.getInt(0);
    }
} catch (Exception e) {
    Log.e(""MusicApp"", ""Erro ao carregar favoritos"", e);
}";1
Case_003_AnkiDroid_SINTETICO_1_FIX;App de Música;android.database.Cursor;"Cursor cur = null;
try {
    cur = db.rawQuery(""SELECT title, artist FROM songs WHERE favorite=1"", null);
    if (cur.moveToFirst()) {
        do {
            String title = cur.getString(0);
            String artist = cur.getString(1);
            playlist.add(title + "" - "" + artist);
        } while (cur.moveToNext());
    }
    if (cur != null && !cur.isClosed()) {
        cur.close();
    }
    cur = db.rawQuery(""SELECT COUNT(*) FROM playlists"", null);
    if (cur.moveToFirst()) {
        totalPlaylists = cur.getInt(0);
    }
} catch (Exception e) {
    Log.e(""MusicApp"", ""Erro ao carregar favoritos"", e);
} finally {
    if (cur != null && !cur.isClosed()) {
        cur.close();
    }
}";0
Case_003_AnkiDroid_SINTETICO_2_BUG;App de Scanner de Documentos;android.database.Cursor;"Cursor cursor = null;
try {
    cursor = resolver.query(imagesUri, projection, ""mime_type=?"", new String[]{""image/jpeg""}, ""date_added DESC"");
    if (cursor != null && cursor.moveToFirst()) {
        latestPath = cursor.getString(2);
    }
    cursor = resolver.query(imagesUri, projection, ""mime_type=?"", new String[]{""image/png""}, ""date_added DESC"");
    if (cursor != null && cursor.moveToFirst()) {
        latestPngPath = cursor.getString(2);
    }
} catch (SecurityException ex) {
    Log.w(""ScannerApp"", ""Sem permissão para ler imagens"", ex);
}";1
Case_003_AnkiDroid_SINTETICO_2_FIX;App de Scanner de Documentos;android.database.Cursor;"Cursor cursor = null;
try {
    cursor = resolver.query(imagesUri, projection, ""mime_type=?"", new String[]{""image/jpeg""}, ""date_added DESC"");
    if (cursor != null && cursor.moveToFirst()) {
        latestPath = cursor.getString(2);
    }
    if (cursor != null && !cursor.isClosed()) {
        cursor.close();
    }
    cursor = resolver.query(imagesUri, projection, ""mime_type=?"", new String[]{""image/png""}, ""date_added DESC"");
    if (cursor != null && cursor.moveToFirst()) {
        latestPngPath = cursor.getString(2);
    }
} catch (SecurityException ex) {
    Log.w(""ScannerApp"", ""Sem permissão para ler imagens"", ex);
} finally {
    if (cursor != null && !cursor.isClosed()) {
        cursor.close();
    }
}";0
Case_003_AnkiDroid_SINTETICO_5_BUG;App de Compras;android.database.Cursor;"Cursor cur = null;
try {
    cur = cartDb.query(""products"", new String[]{""name"", ""price""}, ""id=?"", new String[]{String.valueOf(productId)}, null, null, null);
    if (cur.moveToFirst()) {
        productName = cur.getString(0);
        productPrice = cur.getDouble(1);
    }
    cur = cartDb.query(""coupons"", new String[]{""code"", ""discount""}, ""active=1"", null, null, null, null);
    if (cur.moveToFirst()) {
        couponCode = cur.getString(0);
        discount = cur.getInt(1);
    }
} catch (Exception e) {
    Log.w(""ShopApp"", ""Falha ao carregar produto"", e);
}";1
Case_003_AnkiDroid_SINTETICO_5_FIX;App de Compras;android.database.Cursor;"Cursor cur = null;
try {
    cur = cartDb.query(""products"", new String[]{""name"", ""price""}, ""id=?"", new String[]{String.valueOf(productId)}, null, null, null);
    if (cur.moveToFirst()) {
        productName = cur.getString(0);
        productPrice = cur.getDouble(1);
    }
    if (cur != null && !cur.isClosed()) {
        cur.close();
    }
    cur = cartDb.query(""coupons"", new String[]{""code"", ""discount""}, ""active=1"", null, null, null, null);
    if (cur.moveToFirst()) {
        couponCode = cur.getString(0);
        discount = cur.getInt(1);
    }
} catch (Exception e) {
    Log.w(""ShopApp"", ""Falha ao carregar produto"", e);
} finally {
    if (cur != null && !cur.isClosed()) {
        cur.close();
    }
}";0
Case_003_AnkiDroid_SINTETICO_7_BUG;App de Livros;android.database.Cursor;"Cursor c = null;
try {
    c = libraryDb.rawQuery(""SELECT title, pages FROM books WHERE read=1"", null);
    if (c.moveToFirst()) {
        readTitle = c.getString(0);
        pageCount = c.getInt(1);
    }
    c = libraryDb.rawQuery(""SELECT title FROM books WHERE wishlist=1"", null);
    if (c.moveToFirst()) {
        wishTitle = c.getString(0);
    }
} catch (Exception e) {
    Log.e(""BookApp"", ""Erro ao consultar livros"", e);
}";1
Case_003_AnkiDroid_SINTETICO_7_FIX;App de Livros;android.database.Cursor;"Cursor c = null;
try {
    c = libraryDb.rawQuery(""SELECT title, pages FROM books WHERE read=1"", null);
    if (c.moveToFirst()) {
        readTitle = c.getString(0);
        pageCount = c.getInt(1);
    }
    if (c != null && !c.isClosed()) {
        c.close();
    }
    c = libraryDb.rawQuery(""SELECT title FROM books WHERE wishlist=1"", null);
    if (c.moveToFirst()) {
        wishTitle = c.getString(0);
    }
} catch (Exception e) {
    Log.e(""BookApp"", ""Erro ao consultar livros"", e);
} finally {
    if (c != null && !c.isClosed()) {
        c.close();
    }
}";0
Case_003_AnkiDroid_SINTETICO_8_BUG;App de Receitas;android.database.Cursor;"Cursor cursor = null;
try {
    cursor = recipeDb.query(""recipes"", new String[]{""name"", ""time_minutes""}, ""category=?"", new String[]{selectedCategory}, null, null, ""rating DESC"");
    if (cursor.moveToFirst()) {
        topRecipe = cursor.getString(0);
        prepTime = cursor.getInt(1);
    }
    cursor = recipeDb.query(""ingredients"", new String[]{""ingredient_name""}, ""recipe_id=?"", new String[]{String.valueOf(recipeId)}, null, null, null);
    while (cursor != null && cursor.moveToNext()) {
        ingredients.add(cursor.getString(0));
    }
} catch (Exception e) {
    Log.e(""RecipeApp"", ""Falha ao carregar receita"", e);
}";1
Case_003_AnkiDroid_SINTETICO_8_FIX;App de Receitas;android.database.Cursor;"Cursor cursor = null;
try {
    cursor = recipeDb.query(""recipes"", new String[]{""name"", ""time_minutes""}, ""category=?"", new String[]{selectedCategory}, null, null, ""rating DESC"");
    if (cursor.moveToFirst()) {
        topRecipe = cursor.getString(0);
        prepTime = cursor.getInt(1);
    }
    if (cursor != null && !cursor.isClosed()) {
        cursor.close();
    }
    cursor = recipeDb.query(""ingredients"", new String[]{""ingredient_name""}, ""recipe_id=?"", new String[]{String.valueOf(recipeId)}, null, null, null);
    while (cursor != null && cursor.moveToNext()) {
        ingredients.add(cursor.getString(0));
    }
} catch (Exception e) {
    Log.e(""RecipeApp"", ""Falha ao carregar receita"", e);
} finally {
    if (cursor != null && !cursor.isClosed()) {
        cursor.close();
    }
}";0
